net,length_um
_0080_,1.82µm
_0115_,1.82µm
_0119_,1.82µm
_0137_,1.82µm
_0173_,1.82µm
_0222_,1.82µm
_0244_,1.82µm
_0247_,1.82µm
_0303_,1.82µm
_0306_,1.82µm
_0331_,1.82µm
net97,1.82µm
_0187_,1.745µm
_0443_,1.72µm
_0002_,1.7µm
_0149_,1.7µm
_0223_,1.7µm
_0227_,1.7µm
_0421_,1.7µm
_0493_,1.6µm
_0320_,1.56µm
net159,1.48µm
_0024_,1.36µm
_0032_,1.36µm
_0067_,1.36µm
_0071_,1.36µm
_0072_,1.36µm
_0073_,1.36µm
_0108_,1.36µm
_0113_,1.36µm
_0114_,1.36µm
_0122_,1.36µm
_0129_,1.36µm
_0134_,1.36µm
_0136_,1.36µm
_0139_,1.36µm
_0143_,1.36µm
net132,1.36µm
_0488_,1.26µm
_0518_,1.26µm
_0407_,1.14µm
_0335_,0.92µm
_0528_,0.92µm
br1.data_reg\[3\],0.92µm
net81,0.92µm
net169,0.92µm
_0534_,0.8µm
_0451_,0.46µm
net126,0.46µm
